Name,APID
beacon,1
des_hk,11
des_task,14
des_sched,13
des_time,19
mem_dump,6
fp_hk,7
lib_hk,9
tbl_hk,8
seq_hk,5
tlm_hk,60
cmd_hk,12
time_hk,18
sband_hk,52
sd_hk,42
uhf_hk,40
uhf_pass,41
cip_hk,47
cip_msg_hk,51
mode_hk,53
daxss_msg_hk,46
daxss_hk,45
ana_hk,2
adcs_msg_hk,44
adcs_hk,43
adcs_analogs,215
adcs_gps,218
adcs_clock_sync,213
adcs_tracker,207
adcs_refs,203
adcs_time,202
adcs_imu,212
adcs_cal,219
adcs_att_det,204
adcs_tracker_ctrl,220
adcs_att_ctrl,208
adcs_tables,216
adcs_general,201
adcs_att_cmd,205
adcs_tracker2,217
adcs_tlm_proc,214
adcs_ext_tracker2,221
adcs_rw_drive,206
adcs_momentum,209
adcs_css,210
adcs_mag,211
adcs_command_tlm,200
cip_soh,50
cip_sci1,48
cip_sci2,49
daxss_log,176
daxss_sci,178
adcs_l0,54
